id_puerto;nom_puerto;abreviatura_pais;geometry
TRFOC;Foca;TUR;POINT (26.90289999999999 38.747533868)
VISTT;St Thomas Island;VIR;POINT (-64.94049999999999 18.34383386799999)
AWBAR;Barcadera;ABW;POINT (-69.99950000000001 12.48073386800002)
ANBUB;Bullen Bay;ANT;POINT (-69.03379999999999 12.19053386799999)
AEMZD;Zayed;ARE;POINT (54.3775 24.52583386999999)
AGBBQ;Barbuda;ATG;POINT (-61.83319999999998 17.692733868)
CNJIA;Jiangyin;CHN;POINT (120.2030999999999 31.91133386799999)
MMAKY;Sittwe;MMR;POINT (92.90184974700003 20.141330993)
USPHC;Pointe A La Hache;USA;POINT (-89.85070000000002 29.60323386800002)
GRNAV;Navarino;GRC;POINT (21.6961 36.92093386800002)
MTMLA;Malta (Valetta);MLT;POINT (14.5147 35.89553386799997)
SBAOB;Aola Bay;SLB;POINT (160.484594066 -9.531439058999979)
CAWTN;Walton;CAN;POINT (-64.01159999999999 45.23793386800003)
USNVR;Northville (Riverhead);USA;POINT (-72.6429 40.98053386800001)
CAFRM;Fraser Mills;CAN;POINT (-122.9088 49.19783386799998)
FRBEV;Berville;FRA;POINT (0.3618999999999915 49.43623386799999)
CABGT;Bagotville;CAN;POINT (-70.88549999999998 48.34443386800001)
USNSW;Norsworthy;USA;POINT (-95.19279999999998 29.74113386800002)
NOHMY;Hamaroy;NOR;POINT (15.75549999999998 68.04933386800002)
ITMEL;Melilli;ITA;POINT (15.25990000000002 37.10993386799998)
DKSSV;Studstrupvaerkets Havn;DNK;POINT (10.3553 56.25123386799999)
PLNOW;Nowy Port;POL;POINT (18.61369999999999 54.42043386799998)
GRJTR;Thira;GRC;POINT (25.42989999999998 36.38493386800002)
SBSHH;Shortland Harbour;SLB;POINT (155.8467000000001 -7.082866131999992)
VUPSA;Port Sandwich;VUT;POINT (167.7817 -16.44816613199998)
VUSAN;Santo;VUT;POINT (167.1797 -15.51356613199999)
AEDUY;Ras Zubbaya;ARE;POINT (54.13429366100002 24.31967929199999)
GBNHO;New Holland;GBR;POINT (-0.3328000000000202 53.20053386799998)
TNDJE;Djerba;TUN;POINT (10.857752963 33.88625986900001)
CLTLX;Talca;CHL;POINT (-73.09820000000002 -36.69056613200001)
MYKUA;Kuantan;MYS;POINT (103.4335 3.963033868000025)
MYKET;Kerteh Terminal;MYS;POINT (103.4707 4.564533868000012)
KRMOK;Mokpo;KOR;POINT (126.4035 34.76643386799998)
MYPKG;Port Kelang;MYS;POINT (101.3823 3.000933868000004)
VEGUB;Guaranao Bay;VEN;POINT (-70.22329999999999 11.66793386799998)
IRHEJ;Henjam;IRN;POINT (55.90269999999998 26.71573386799997)
JPOKJ;Okayama;JPN;POINT (133.9812628780001 34.60535512899997)
CNTXG;Tianjinxingang;CHN;POINT (117.2197 39.07203386800001)
IQFAO;Fao;IRQ;POINT (48.48329999999999 29.97463386999999)
PELPP;La Pampilla;PER;POINT (-77.15089999999998 -11.90836613200003)
MXACA;Acapulco;MEX;POINT (-99.89909999999998 16.83693386800002)
IDCIG;Banten;IDN;POINT (105.958159122 -6.013746217999994)
EGAIS;Ain Sukhna;EGY;POINT (32.3929 29.51943386800002)
GBRAY;Rothesay;GBR;POINT (-4.401599999999974 55.83693386800002)
USPHN;Port Huron;CAN;POINT (-82.42059999999998 42.97993386799999)
USPAN;Patterson;USA;POINT (-123.4157 48.14093386799999)
GBSOW;Stanlow;GBR;POINT (-2.863699999999994 53.293533868)
FIPRV;Porvoo;FIN;POINT (25.55149999999998 60.29993386799998)
GUAPR;Apra;GUM;POINT (144.6797 13.44373386799998)
JPMIS;Misumi;JPN;POINT (130.4751 32.601033868)
JPOSM;Oshima;JPN;POINT (139.3575 34.749833868)
JPNGO;Nagoya;JPN;POINT (136.8466282959999 35.027346744)
SADHU;Dhuba;SAU;POINT (36.45890000000003 26.22793386799998)
TCPLS;Providenciales;TCA;POINT (-72.25709999999998 21.757533868)
BOTDD;Trinidad;TTO;POINT (-61.52730000000003 10.65443386800001)
TRTUT;Tutunciftlik;TUR;POINT (29.79129999999998 40.754133868)
TRGKV;Gokova;TUR;POINT (28.32709999999997 37.05513386799998)
TRGUL;Gulluk;TUR;POINT (27.61169999999998 37.26193386800003)
CNHME;Haimen;CHN;POINT (121.4437 28.69153386800002)
CUVIT;Vita;CUB;POINT (-75.95010000000002 21.07813386800001)
INMAA;Chennai;IND;POINT (80.2971 13.098533868)
ESSVQ;Sevilla (Seville);ESP;POINT (-5.991899999999987 37.369833868)
USPWT;Bremerton;USA;POINT (-122.6654 47.54733386800001)
VNHON;Hongai;VNM;POINT (107.0795 20.94833386800002)
CALAC;Lachine;CAN;POINT (-73.64519999999999 45.41653386799999)
CATRR;Trois-Rivieres (Three Rivers);CAN;POINT (-72.55200000000002 46.36323386800001)
RUNNM;Naryan Mar;RUS;POINT (53.02710000000002 67.62873386799998)
CACRE;Cape Race;CAN;POINT (-53.08940000000001 46.65803386800002)
NOLDS;Lindesnes;NOR;POINT (7.039499999999975 57.98513386799999)
NOSLX;Sortland;NOR;POINT (15.46510000000001 66.707233868)
NLEEM;Eemshaven;NLD;POINT (6.822099999999978 53.44813386800001)
IDBIK;Biak;IDN;POINT (136.37556564 -1.255957760000001)
JPKSM;Kashima;JPN;POINT (140.699933228 35.92774905900001)
BGRDU;Ruse;ROU;POINT (25.94929999999999 43.85683386800002)
SBRIN;Ringi Cove;SLB;POINT (157.0969 -8.110866132000012)
SBALB;Allardyce Harbour;SLB;POINT (158.6565000000001 -7.78746613200002)
AOPLE;Porto Alexandre;AGO;POINT (11.8261 -15.79606613200002)
AOMAL;Malongo;AGO;POINT (12.19395894199999 -5.396055977000003)
FRMRN;Marans;FRA;POINT (-0.8136000000000081 46.309833868)
JPTSG;Higashi-Harima;JPN;POINT (134.837618604 34.71553526999998)
MYLBU;Labuan;MYS;POINT (115.2529 5.274733867999998)
DEBUZ;Butzfleth;DEU;POINT (9.516099999999994 53.65083386800001)
NOBVK;Brevik;NOR;POINT (9.699700000000007 59.05323386800001)
VECOL;Coloncha;VEN;POINT (-71.75209999999998 9.203133868000009)
VEETV;El Tablazo / Maracaibo L;VEN;POINT (-71.53100000000001 10.73933386800002)
PHBLG;Balogo;PHL;POINT (121.043020601 13.755349862)
KRPTK;Pyongtaek;KOR;POINT (126.3945 36.891333868)
VECMR;Cumarebo;VEN;POINT (-69.34710000000001 11.49403386799997)
VELSP;Las Piedras;VEN;POINT (-70.14019999999999 11.57143386799999)
CLPTI;Patillos;CHL;POINT (-70.19819999999999 -20.75046613199999)
THMAT;Map Ta Phut;THA;POINT (101.1515 12.67353387000003)
GBWMB;Wemyss Bay;GBR;POINT (-5.054700000000025 55.839733868)
GBCYP;Clydeport;GBR;POINT (-4.242799999999988 55.851033868)
AUBWB;Barrow Island;AUS;POINT (115.4204999999999 -20.86106613200002)
NOMSK;Moskenes;NOR;POINT (13.16449999999998 67.999833868)
NORMJ;Ramfjordnes;NOR;POINT (19.04090000000002 69.52413386799998)
GBDIN;Dingle;GBR;POINT (-2.47969999999998 53.38413386799999)
NZNPL;Port Taranaki;NZL;POINT (174.0265000000001 -39.060866132)
NZMAP;Marsden Point;NZL;POINT (174.3489 -35.75096613199997)
GBDGS;Douglas;IMY;POINT (-4.480599999999981 54.15803386800002)
NLEUR;Europoort (Europort);NLD;POINT (4.098900000000015 51.94973386800001)
CLCNX;Cabo Negro;CHL;POINT (-70.81470000000002 -53.007666132)
CNZZU;Zhangzhou;CHN;POINT (118.0299 24.40953386799998)
NGANT;Antan Terminal;NGA;POINT (8.332100000000025 4.208933867999974)
INVAD;Vadinar;IND;POINT (69.71929999999998 22.46553386800002)
INCCJ;Kozhikode;IND;POINT (75.7645 11.25203386800001)
JPFKJ;Fukui;JPN;POINT (136.1446999999999 36.21873386800002)
JPSDO;Ryotsu;JPN;POINT (138.5613 38.08793386799999)
LCCDS;Cul De Sac;LCA;POINT (-61.02260000000001 13.976733868)
PGMIS;Misima Island;PNG;POINT (152.8343 -10.63816613199998)
SESKR;Skredsvik;SWE;POINT (11.47669999999999 58.39993386800001)
YESAL;Saleef Port;YEM;POINT (42.68290000000002 15.29733386800001)
ANFUI;Fuikbaai;ANT;POINT (-68.83019999999999 12.04633386799998)
AEMSA;Mina Saqr;ARE;POINT (56.05410000000001 25.97333386999998)
MGMOB;Manombo;MDG;POINT (43.47030000000001 -22.967566132)
USROC;Rochester;USA;POINT (-77.64109999999999 43.26783386800003)
CAPAP;Aguathuna (Port Au Port);CAN;POINT (-58.65359999999998 48.753433868)
USFDT;Ferndale;USA;POINT (-122.7021 48.805733868)
CABKN;Brooklyn;CAN;POINT (-64.68509999999998 44.04683386800002)
AUBAH;Ballast Head;AUS;POINT (137.7953 -35.75186613199998)
CAFAL;Fort Albany;CAN;POINT (-81.62110000000001 52.23313386799998)
CAPOA;Port Arthur;CAN;POINT (-89.2287 48.41413386800002)
CAFAP;Father Point;CAN;POINT (-68.4683 48.51503386799999)
USTVY;Traver;USA;POINT (-85.6191 44.76573386799998)
USRSR;Ramseur;USA;POINT (-73.74939999999998 42.64353386800002)
NOTHA;Thamshavn;NOR;POINT (9.828300000000013 63.32423386800002)
GBGRN;Granton;GBR;POINT (-3.204299999999989 55.98273386800003)
ISSTR;Straumsvik;ISL;POINT (-22.04480000000001 64.04243386799999)
CYAKT;Akrotiri;CYP;POINT (32.98910000000001 34.57563386800001)
ESARI;Arguineguin;ESP;POINT (-15.65969999999999 27.752533868)
JPTYO;Tokyo;JPN;POINT (139.802358667 35.60677639199997)
PKBQM;Muhammad Bin Qasim;PAK;POINT (67.33041643400003 24.762817627)
ROBAB;Basarabi;ROU;POINT (28.47809999999998 44.12043386800002)
BGMIC;Michurin;BGR;POINT (27.86270000000002 42.17183386800002)
GNKMR;Port Kamsar;GIN;POINT (-14.61620203699999 10.64732296199998)
GHKIT;Keta;GHA;POINT (0.9925000000000068 5.905233867999982)
MZUEL;Quelimane;MOZ;POINT (36.89409999999998 -17.88656613199998)
LKGAL;Galle;LKA;POINT (80.23199144400002 6.035506655999995)
JMSLM;Savanna La Mar;JAM;POINT (-78.15129999999999 18.207933868)
FRLLE;Lille;FRA;POINT (3.04849999999999 50.63673386800002)
USPUO;Prudhoe;USA;POINT (-148.369 70.30623386799999)
AOSOQ;Soyo-Quinfuquena Terminal;AGO;POINT (12.22949999999997 -6.331066131999989)
MYLGK;Langkawi;MYS;POINT (99.76010000000002 6.421833868000022)
IDSVP;Sevivara Point;TLS;POINT (127.1977000000001 -8.343466132000003)
TWKHH;Kaohsiung;CHN;POINT (120.2609 22.60793386799998)
USYON;Yonkers;USA;POINT (-73.90539999999999 40.95133386800001)
ECBHA;Bahia de Caraquez;ECU;POINT (-80.424385132 -0.6005033530000219)
PHDAD;General Santos;PHL;POINT (125.151938026 6.082110327000009)
RULED;St Petersburg;RUS;POINT (30.25749999999999 59.91673386799999)
GTPBR;Puerto Barrios;GTM;POINT (-88.60458990500001 15.73519478499998)
GNCKY;Conakry;GIN;POINT (-13.715173381 9.519050027999981)
USBCG;Bocagrande;USA;POINT (-82.25799999999998 26.747533868)
JPSMZ;Shimizu;JPN;POINT (138.5021 34.999833868)
VILIB;Limetree Bay;VIR;POINT (-64.74939999999998 17.71373386800002)
GBLAR;Larne;GBR;POINT (-5.798699999999997 54.850133868)
ESTAR;Tarragona;ESP;POINT (1.240700000000004 41.11093386800002)
GDSTG;Saint George'S;GRD;POINT (-61.75220000000002 12.06293386800002)
USSEA;Seattle;USA;POINT (-122.409 47.67293386799997)
FOVES;Vestmanhavn;FRO;POINT (-7.174800000000005 62.15163386799998)
FIOUL;Oulu;FIN;POINT (25.48489999999998 65.02003386799998)
NOMQN;Mo I Rana;NOR;POINT (14.17110000000002 66.32913386799999)
MTMAR;Marsaxlokk;MLT;POINT (14.54390000000001 35.81263386799998)
GRJSH;Sitia;GRC;POINT (26.12490000000003 35.20333386800002)
DKHSU;Hadsund;DNK;POINT (10.12670000000003 56.71083386800001)
ITRMA;Rio Marina;ITA;POINT (10.43130000000002 42.81173386799998)
FRLRT;Lorient;FRA;POINT (-3.355099999999993 47.75033386799998)
SEGRU;Gruvon;SWE;POINT (13.10890000000001 59.33433386799999)
NOSVE;Svelgen;NOR;POINT (5.293900000000008 61.76783386800003)
PKORW;Ormara;PAK;POINT (64.67736074700002 25.20060641100002)
PESVY;Salaverry;PER;POINT (-78.99099999999999 -8.221166132000008)
DELBC;Lubeck;DEU;POINT (10.6857 53.85493386799999)
IEKBS;Killybegs;IRL;POINT (-8.449999999999989 54.63423386800002)
DKHAD;Haderslev;DNK;POINT (9.515699999999981 55.25233386799999)
JPHRH;Hirohata;JPN;POINT (134.623464148 34.78226367600001)
PHPLC;Polloc;PHL;POINT (124.220714667 7.347826348000012)
CAPDV;Port Dover;CAN;POINT (-80.1816 42.78073386800003)
DKHBO;Hobro;DNK;POINT (9.81389999999999 56.63423386800002)
AESHJ;Sharjah;ARE;POINT (55.38844884600002 25.36710514100002)
PEPAI;Paita;PER;POINT (-81.11040000000003 -5.08596613200001)
USAIH;Alliance;USA;POINT (-89.96159999999998 29.66243386799999)
LVRIX;Riga;LVA;POINT (24.1121 56.93973386800002)
GRITM;Isthmia;GRC;POINT (23.01510000000002 37.91593386800002)
BJCOO;Cotonou;MLI,NER;POINT (2.456601311999975 6.355323788000021)
CALEV;Levis;CAN;POINT (-71.19920000000002 46.78663386800002)
ITPCS;Porto Corsini;ITA;POINT (12.2867 44.48613386800002)
CABUO;Burgeo;CAN;POINT (-57.63909999999998 47.62513386799998)
GRLII;Limni;GRC;POINT (23.32049999999998 38.76473386800001)
IECOB;Cobh;IRL;POINT (-8.315400000000011 51.84883386799999)
DELEE;Leer;DEU;POINT (7.435699999999997 53.23053386800001)
CASBU;Shelburne;CAN;POINT (-65.3193 43.749833868)
TRHOP;Hopa;TUR;POINT (41.43049999999999 41.40523386799998)
SESOR;Soraker;SWE;POINT (17.51150000000001 62.50273386800001)
CAPCO;Port Colborne;CAN;POINT (-79.25220000000002 42.87653386800002)
ESCAD;Cadiz;ESP;POINT (-6.296899999999994 36.532433868)
FRRDN;Redon;FRA;POINT (-2.087499999999977 47.64493386800001)
CAFOR;Fortune;CAN;POINT (-55.84539999999998 47.07253386799999)
SNDKR;Dakar;MLI;POINT (-17.4359 14.68293386800002)
ZADUR;Durban;ZAF, MWI, ZWE;POINT (31.01010000000002 -29.878566132)
USSAB;Sabine;USA;POINT (-93.86540000000002 29.71753386799998)
USFEB;Fernandina Beach;USA;POINT (-81.4554 30.68873386799999)
USPCR;Point Comfort;USA;POINT (-96.5675 28.64003386799999)
YUZEL;Zelenika;MNE;POINT (18.57249999999999 42.44853386800003)
IDMUO;Muntok;IDN;POINT (105.179223312 -2.071905017999995)
THBKK;Bangkok;THA;POINT (100.5187 13.68263387000002)
NGSPL;Sapele;NGA;POINT (5.656230196000024 5.917157836999991)
VNDOH;Dong Hoi;VNM;POINT (106.6291 17.468333868)
ITFAV;Favignana;ITA;POINT (12.32870000000003 37.93513386799998)
GBPME;Portsmouth;GBR;POINT (-1.109500000000025 50.799633868)
ITCLF;Carloforte;ITA;POINT (8.309700000000021 39.13063386800002)
PGKVG;Kavieng;PNG;POINT (150.7885 -2.582666131999986)
NOGLO;Glomfjord;NOR;POINT (13.98570000000001 66.80313386799997)
CABAD;Baddeck;CAN;POINT (-60.7475 46.113933868)
SNFOU;Foundiougne;SEN;POINT (-16.47030000000001 14.12973386800002)
IDBLW;Belawan;IDN;POINT (98.69490253399999 3.785919017000026)
COCTG;Cartagena;COL;POINT (-75.53260235400001 10.40628038199998)
IQUQR;Umm Qasr;IRQ;POINT (47.93358227099998 30.05371115899999)
MGMOQ;Morondava;MDG;POINT (44.27219669599998 -20.29398627699999)
GHTEM;Tema;MLI,NER;POINT (0.01029999999997244 5.629733868000017)
FJMAL;Malau;FJI;POINT (179.3695 -16.43276613199998)
PTFNC;Funchal;PRT;POINT (-16.9067 32.64213386799997)
MZMEM;Memba;MOZ;POINT (40.51909999999998 -14.17216613199997)
CACOC;Contrecoeur;CAN;POINT (-73.2199 45.88473386800001)
CIABJ;Abidjan;CIV;POINT (-4.021799999999985 5.332733867999991)
SEAMA;Amal;SWE;POINT (12.71809999999999 59.05263386799999)
TGLFW;Lome;TGO,MLI,NER;POINT (1.284247576999974 6.142422673999988)
LRMLW;Monrovia;LBR;POINT (-10.79560683599999 6.333050902000025)
SLFNA;Freetown;SLE;POINT (-13.23250000000002 8.491233867999995)
GWOXB;Bissau;GNB;POINT (-15.58589999999998 11.86113386800002)
IDGTO;Gorontalo;IDN;POINT (123.071606201 0.4975818500000173)
PHSUG;Surigao;PHL;POINT (125.454711137 9.815678341000023)
BELLO;La Louviere;BEL;POINT (4.192700000000002 50.49403386799997)
NOARD;Ardalstangen;NOR;POINT (7.715100000000007 61.24873386799999)
DEDUS;Dusseldorf;DEU;POINT (6.769499999999994 51.22913386800002)
UAODS;Odessa;UKR;POINT (30.75470000000001 46.49373386799999)
UAKHE;Kherson;UKR;POINT (32.66670941899997 46.65915697999998)
UAYAL;Yalta;UKR;POINT (34.170141215 44.49583187500002)
UAKEH;Kerch;UKR;POINT (36.48696898899999 45.35805602800002)
UARNI;Reni;UKR;POINT (28.29370021400001 45.42225079000002)
VNVUT;Vung Tau;VNM;POINT (107.0805 10.32563386800001)
CAOWS;Owen Sound;CAN;POINT (-80.9255 44.58433386799999)
CAPRS;Parry Sound;CAN;POINT (-80.036 45.32993386800001)
CAPWE;Port Weller;CAN;POINT (-79.20850000000002 43.22913386800002)
PAGTN;Gatun;PAN;POINT (-79.91539999999998 9.263633867999999)
CAYME;Matane;CAN;POINT (-67.53559999999999 48.84693386800001)
CUPIL;Pilon;CUB;POINT (-77.32760000000002 19.90013386800001)
NOVER;Verdal;NOR;POINT (11.4803 63.79393386800001)
CASTW;Stewart;CAN;POINT (-129.9974 55.92823386800001)
PHCRT;Iloilo;PHL;POINT (122.582316749 10.68973434700001)
YEADE;Aden;YEM;POINT (45.01889999999997 12.78993386799999)
SEBUR;Burea;SWE;POINT (21.22930000000002 64.62043386800002)
FRFEC;Fecamp;FRA;POINT (0.3573000000000093 49.76213386799998)
GMBJL;Banjul;GMB;POINT (-16.57979999999998 13.45473386800001)
MRNKC;Nouakchott;MRT;POINT (-16.025002852 18.03523924799998)
SYLTK;Lattakia;SYR;POINT (35.77030000000002 35.51173386800002)
SYTTS;Tartous;SYR;POINT (35.88729999999998 34.89653386800001)
MGTLE;Toliara;MDG;POINT (43.66441987299999 -23.37751801600001)
MGTMM;Toamasina;MDG;POINT (49.42656890000001 -18.154386655)
JOAQJ;Aqaba;SYR;POINT (34.99818338599999 29.51374371899999)
PGKIM;Kimbe;PNG;POINT (150.1501 -5.549766132000002)
KMFOU;Fomboni;COM;POINT (43.75326990999997 -12.29011464000001)
PGATP;Aitape;PNG;POINT (142.351515557 -3.143730764999987)
KEMBA;Mombasa;KEN,COD,UGA,SSD,SOM,ETH;POINT (39.67070000000001 -4.075966132000019)
MZMPM;Maputo;MOZ, ZWE;POINT (32.5557 -25.95976613200003)
TRZEY;Zeytinburnu;TUR;POINT (28.89268205000002 40.97960572099998)
HTACA;Les Cayes;HTI;POINT (-73.74160000000001 18.19343386999998)
USMKE;Milwaukee;USA;POINT (-87.89769999999999 43.01863386799999)
USPWA;Port Washington;USA;POINT (-87.85660000000001 43.386133868)
USOSW;Oswego;USA;POINT (-76.5147 43.46433386799998)
USCEC;Crescent City;USA;POINT (-124.2021 41.74793386800002)
USBUP;Bucksport;USA;POINT (-68.78019999999998 44.56613386800001)
CACMV;Carmanville;CAN;POINT (-54.3682 49.42613386800002)
CASQA;Squamish;CAN;POINT (-123.164 49.68983386799999)
USUAA;Unalaska;USA;POINT (-166.5238 53.87093386800001)
USDUT;Dutch Harbor;USA;POINT (-166.5488 53.89073386799998)
USATR;Atreco;USA;POINT (-93.89159999999998 29.97883386799998)
USLCH;Lake Charles;USA;POINT (-93.2321 30.21663386799997)
USPLQ;Plaquemine;USA;POINT (-91.22430000000003 30.28693386800001)
USILM;Wilmington;USA;POINT (-77.95740000000001 34.23903386799998)
USCOB;Coos Bay;USA;POINT (-124.2078 43.37203386800002)
CAMTR;Montreal;CAN;POINT (-73.54809999999998 45.50173386799997)
CASYD;Sydney;CAN;POINT (-60.19839999999999 46.14893386799997)
CANCT;Newcastle;CAN;POINT (-65.56360000000001 47.005933868)
CALOH;Long Harbour;CAN;POINT (-53.8263 47.42793386800003)
USSSI;Brunswick;USA;POINT (-81.50049999999999 31.14863386799999)
USANP;Annapolis;USA;POINT (-76.4692 38.93973386800002)
CALIV;Liverpool;CAN;POINT (-64.71789999999999 44.04393386800001)
CABCK;Brockville;CAN;POINT (-75.68040000000002 44.598333868)
USBGR;Bangor;USA;POINT (-68.77940000000001 44.78633386799999)
CABEC;Becancour;CAN;POINT (-72.37939999999998 46.39283386800003)
USSIF;Silverdale;USA;POINT (-122.6925 47.64433386799999)
CACCB;Cowichan Bay;CAN;POINT (-123.6474 48.75853386799997)
CALWP;Lewisporte;CAN;POINT (-55.0641 49.24873386799999)
CACAM;Campbell River;CAN;POINT (-125.2412 50.027233868)
USCLM;Port Angeles;USA;POINT (-123.4038 48.136133868)
GBLAH;Lamlash;GBR;POINT (-5.069999999999993 55.53213386800002)
GBBTL;Burntisland;GBR;POINT (-3.227100000000007 56.05593386800001)
GBPTR;Portrush;GBR;POINT (-6.658799999999985 55.20313386800001)
GRPMS;Patmos;GRC;POINT (26.55290000000002 37.32063386800002)
ITCHI;Chioggia;ITA;POINT (12.2817 45.20573386799998)
ITTRS;Trieste;ITA;POINT (13.75409999999999 45.65083386800001)
DEPUT;Puttgarden;DEU;POINT (11.22890000000001 54.50613386800001)
DESAS;Sassnitz;DEU;POINT (13.67129999999997 54.52213386800003)
USCDY;Conneaut;USA;POINT (-80.54610000000002 41.96553386800002)
CAWND;Windsor;CAN;POINT (-82.97230000000002 42.32473386800001)
USXOG;Wrightsville;USA;POINT (-77.79880000000003 34.21793386799999)
USLWP;Lewes;USA;POINT (-75.13099999999997 38.77803386800002)
DZTEN;Tenes;DZA;POINT (1.306100000000015 36.51813386800001)
NOHOR;Horten;NOR;POINT (10.49470000000002 59.408333868)
NOSLM;Slemmestad;NOR;POINT (10.50970000000001 59.78653386799999)
SESVX;Svano;SWE;POINT (17.85890000000001 62.91233386800002)
NOKSU;Kristiansund;NOR;POINT (7.748899999999992 63.113933868)
GBELL;Ellesmere Port;GBR;POINT (-2.896299999999997 53.29853386799999)
GBIMM;Immingham;GBR;POINT (-0.1841999999999757 53.62813386800002)
HRSLN;Solin;HRV;POINT (16.47590000000002 43.52913386799997)
FRPAP;Pauillac;FRA;POINT (-0.7368000000000166 45.20143386799998)
ROBRA;Braila;ROU;POINT (27.97250000000003 45.26503386799999)
HRBAK;Bakar;HRV;POINT (14.53570000000002 45.30323386800001)
FRRCO;Rochefort;FRA;POINT (-0.9499999999999886 45.94133386800002)
ALSHG;Shengjin;ALB;POINT (19.5951 41.81483386799999)
GBRYE;Rye;GBR;POINT (0.733099999999979 50.952733868)
FRCQF;Calais;FRA;POINT (1.851099999999974 50.96913386799997)
GBTIL;Tilbury;GBR;POINT (0.3589000000000055 51.454533868)
GBRFD;Rochford;GBR;POINT (0.7216999999999985 51.58053386799997)
GBMAL;Maldon;GBR;POINT (0.6865000000000236 51.731033868)
GBTAB;Tarbert;IRL;POINT (-9.36669999999998 52.57553386799998)
DEBRE;Bremen;DEU;POINT (8.748699999999985 53.11043386799997)
GBRUN;Runcorn;GBR;POINT (-2.744100000000003 53.34693386800001)
THKHA;Khanom;THA;POINT (99.88275024900003 9.208498066999994)
MAELJ;El Jadida;MAR;POINT (-8.498400000000004 33.25813386800002)
JPTBT;Kitakyushu;JPN;POINT (130.85043291 33.92386961400001)
DZCOL;Collo;DZA;POINT (6.565099999999973 37.01643386799998)
TNBIZ;Bizerte;TUN;POINT (9.873699999999985 37.27113386799999)
MASFI;Safi;MAR;POINT (-9.242700000000013 32.30793386800002)
AOPBN;Porto Amboim;AGO;POINT (13.73869999999999 -10.74576613200003)
THSGZ;Songkhla;THA;POINT (100.574848032 7.224512521999998)
JPHRA;Hirao;JPN;POINT (132.0501 33.91013386999998)
JPTND;Tonda;JPN;POINT (131.7444312809999 34.05560027299998)
JPKAI;Kainan;JPN;POINT (135.2021 34.14803387000001)
JPNRU;Naruto;JPN;POINT (134.603694116 34.11381462100002)
ARCVI;Caleta Olivia;ARG;POINT (-67.50909999999999 -46.43056613200002)
NZNSN;Nelson;NZL;POINT (173.2371000000001 -41.28446613199998)
AUALH;Albany;AUS;POINT (117.8797 -35.03146613199999)
BRFOR;Fortaleza;BRA;POINT (-38.53059999999999 -3.71866613200001)
MYBTU;Bintulu;MYS;POINT (113.0295 3.186933867999983)
PHBAI;Bais;PHL;POINT (123.1349 9.584433868000019)
CNSYX;Sanya;CHN;POINT (109.4935 18.231033868)
CNSDG;Shuidong;CHN;POINT (111.0025 21.50333386800003)
HKHKG;Hong Kong;HKG;POINT (114.1777 22.29183386800003)
CNSWA;Shantou;CHN;POINT (116.6653 23.34873386800001)
JPNHR;Nishihara;JPN;POINT (127.7879 26.23683386800002)
JPSMB;Shimabara;JPN;POINT (130.3795 32.78883386799998)
JPKND;Kanda;JPN;POINT (130.997918921 33.78742162600003)
JPTTY;Tateyama;JPN;POINT (139.8587 34.98753386800001)
JPTYM;Tsuiyama;JPN;POINT (134.8359 35.64503386799998)
TRERK;Erdek;TUR;POINT (27.80250000000001 40.39313386800001)
JPHKD;Hakodate;JPN;POINT (140.7295 41.77393386799997)
RUNVS;Novorossiysk;RUS;POINT (37.78829999999999 44.71353386800001)
AUSRN;Strahan;AUS;POINT (145.3273 -42.15806613199999)
NZPCN;Picton;NZL;POINT (174.0065 -41.29356613200002)
AUBEL;Bell Bay;AUS;POINT (146.8423 -41.189966132)
ARBHI;Bahia Blanca;ARG;POINT (-62.34980000000002 -38.75996613199999)
AUWAL;Wallaroo;AUS;POINT (137.6025 -33.93796613199999)
AUYBA;Yamba;AUS;POINT (153.2886999999999 -29.43326613200003)
AUGLT;Gladstone;AUS;POINT (151.2727 -23.84866613200001)
PFPPT;Papeete;PYF;POINT (-149.5727 -17.52816613200002)
PHBPH;Bislig;PHL;POINT (126.3611560419999 8.190303781000011)
CNHUA;Huangpu;CHN;POINT (113.4319 23.09443386800001)
JPSBS;Shibushi;JPN;POINT (131.1099 31.46293386799999)
JPUSK;Usuki;JPN;POINT (131.8119 33.117333868)
JPTMK;Tomakomai;JPN;POINT (141.6259 42.63893386799998)
CNHAK;Haikou;CHN;POINT (110.3205 20.03873386800001)
RUNJK;Nakhodka;RUS;POINT (132.8887 42.79823386800001)
AUZBO;Bowen;AUS;POINT (148.2447 -20.021466132)
AUCNS;Cairns;AUS;POINT (145.7673 -16.90426613199998)
MYKUD;Kudat;MYS;POINT (116.8509 6.880133867999973)
VEARA;Araya;VEN;POINT (-64.2826 10.63853386800002)
INBEY;Beypore;IND;POINT (75.82870000000003 11.18293386800002)
INMUN;Mundra;IND;POINT (69.70269999999999 22.83353386800002)
PHGAS;Gasan;PHL;POINT (121.8511 13.31423386799997)
PHTBC;Tabaco;PHL;POINT (123.734099829 13.35817742199998)
JPTAE;Tanabe;JPN;POINT (135.3785 33.72873386800001)
JPHKR;Hikari;JPN;POINT (131.930816614 33.953436135)
JPOND;Onoda;JPN;POINT (131.171226392 33.97585923700001)
CNTAO;Qingdao;CHN;POINT (120.3105 36.06263386799998)
CNWEI;Weihai;CHN;POINT (122.1321 37.504133868)
JPONG;Onagawa;JPN;POINT (141.4503 38.44133386800002)
