[1106/073116.522:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1106/150354.291:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1106/175448.335:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1106/181145.514:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1106/181439.399:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1106/212829.956:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1107/071256.437:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1107/112022.456:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1107/113229.346:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1107/113229.891:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1107/214103.319:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1108/050443.527:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1108/050443.991:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1108/050444.012:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
