,id,fecha,altura_ola
107,21,2020-09-12 12:00:00,0.24833369195652177
108,21,2020-09-13 12:00:00,0.6370632480434784
109,21,2020-09-14 12:00:00,0.4638029456521739
110,22,2020-09-10 12:00:00,0.17471804708333336
111,22,2020-09-11 12:00:00,0.34363496173913055
112,22,2020-09-12 12:00:00,0.22446452391304347
113,22,2020-09-13 12:00:00,0.7574656791304349
114,22,2020-09-14 12:00:00,0.46576181130434774
115,23,2020-09-10 12:00:00,0.20186019150000004
116,23,2020-09-11 12:00:00,0.41380579695652175
117,23,2020-09-12 12:00:00,0.20297333891304348
118,23,2020-09-13 12:00:00,0.8559941413043477
119,23,2020-09-14 12:00:00,0.47281108260869564
120,24,2020-09-10 12:00:00,0.2374471416666666
121,24,2020-09-11 12:00:00,0.48509128086956527
122,24,2020-09-12 12:00:00,0.19951634152173914
123,24,2020-09-13 12:00:00,0.9165331891304348
124,24,2020-09-14 12:00:00,0.498279105652174
125,25,2020-09-10 12:00:00,0.2651705945833333
126,25,2020-09-11 12:00:00,0.535284702173913
127,25,2020-09-12 12:00:00,0.20935075052173907
128,25,2020-09-13 12:00:00,0.9513102143478259
129,25,2020-09-14 12:00:00,0.5375847834782609
130,26,2020-09-10 12:00:00,0.287311365
131,26,2020-09-11 12:00:00,0.5490611652173912
132,26,2020-09-12 12:00:00,0.22458275500000005
133,26,2020-09-13 12:00:00,0.9846011547826087
134,26,2020-09-14 12:00:00,0.569986593478261
135,27,2020-09-10 12:00:00,0.29408230875
136,27,2020-09-11 12:00:00,0.5213224578260869
137,27,2020-09-12 12:00:00,0.244629397173913
138,27,2020-09-13 12:00:00,0.9702868782608695
139,27,2020-09-14 12:00:00,0.5527633460869567
140,28,2020-09-10 12:00:00,0.283661805
141,28,2020-09-11 12:00:00,0.45669480043478256
142,28,2020-09-12 12:00:00,0.2668889319130434
143,28,2020-09-13 12:00:00,0.8734805908695652
144,28,2020-09-14 12:00:00,0.5124393273913043
145,29,2020-09-10 12:00:00,0.24987094874999996
146,29,2020-09-11 12:00:00,0.35652622
147,29,2020-09-12 12:00:00,0.2783740604782609
148,29,2020-09-13 12:00:00,0.7017123539130433
149,29,2020-09-14 12:00:00,0.4385390495652174
150,30,2020-09-10 12:00:00,0.17610632729166664
151,30,2020-09-11 12:00:00,0.2292866852173913
152,30,2020-09-12 12:00:00,0.23745113586956518
153,30,2020-09-13 12:00:00,0.3992306465217392
154,30,2020-09-14 12:00:00,0.2385529865217391
155,31,2020-09-10 12:00:00,0.2874039925
156,31,2020-09-11 12:00:00,0.25216342652173923
157,31,2020-09-12 12:00:00,0.8116402908695651
158,31,2020-09-13 12:00:00,0.785639281304348
159,31,2020-09-14 12:00:00,0.40369179391304366
160,32,2020-09-10 12:00:00,0.37460764374999994
161,32,2020-09-11 12:00:00,0.27034522173913034
162,32,2020-09-12 12:00:00,0.9418294113043477
163,32,2020-09-13 12:00:00,0.8530281647826087
164,32,2020-09-14 12:00:00,0.4047556713043479
165,33,2020-09-10 12:00:00,0.3797962416666667
166,33,2020-09-11 12:00:00,0.2815471908695652
167,33,2020-09-12 12:00:00,0.891720554347826
168,33,2020-09-13 12:00:00,0.7808641943478262
169,33,2020-09-14 12:00:00,0.3599429682608696
170,34,2020-09-10 12:00:00,0.3546470216666667
171,34,2020-09-11 12:00:00,0.2935381782608696
172,34,2020-09-12 12:00:00,0.7909486847826087
173,34,2020-09-13 12:00:00,0.656753893478261
